project_id,work_name,category,mp_name,state,district,agency_name,sanction_date,expected_completion,actual_completion,estimated_cost,sanctioned_amount,released_amount,expenditure,progress_percentage,latitude,longitude,status,is_cost_anomaly,is_exp_anomaly,is_progress_anomaly,is_delay,is_duplicate
MPLAD-2024-00015,Construction of Sanitation in District_8,Sanitation,MP_38,Gujarat,District_8,Agency_8,2023-02-04,2023-08-11,,1997168.92,3815357.39,3349027.51,2019326.86,6.51,16.402792,72.675417,In Progress,True,False,True,False,False
MPLAD-2024-00016,Construction of Education in District_16,Education,MP_14,Tamil Nadu,District_16,Agency_18,2023-08-31,2024-04-29,,4718790.61,4864186.16,3972589.98,3544175.01,77.29,13.410532,93.884211,In Progress,False,False,False,False,False
MPLAD-2024-00017,Construction of Education in District_4,Education,MP_43,Maharashtra,District_4,Agency_14,2023-01-28,2024-01-15,,3157368.97,3254439.17,3085356.9,1984197.84,56.21,14.61012,80.386126,In Progress,False,False,False,False,False
MPLAD-2024-00018,Construction of Roads in District_11,Roads,MP_7,Karnataka,District_11,Agency_8,2023-04-04,2023-12-11,,4272059.06,4426165.3,2228468.29,1626417.02,36.14,14.441127,71.476096,In Progress,False,False,False,False,False
MPLAD-2024-00019,Construction of Roads in District_18,Roads,MP_7,Karnataka,District_18,Agency_2,2023-02-17,2023-10-15,,2350460.69,2454564.87,1623943.72,1191090.9,15.09,18.545258,96.18168,In Progress,False,False,True,False,False
MPLAD-2024-00020,Construction of Education in District_2,Education,MP_11,Karnataka,District_2,Agency_13,2023-08-21,2024-04-30,,4849789.18,8495774.82,6360143.08,4041204.64,45.52,9.069721,85.677366,In Progress,True,False,False,False,False
MPLAD-2024-00021,Construction of Sanitation in District_5,Sanitation,MP_13,Karnataka,District_5,Agency_10,2023-02-01,2023-10-19,2024-04-18,3010716.09,2875679.08,1838488.44,2690271.82,88.68,12.201951,82.19413,Delayed,False,True,False,True,False
MPLAD-2024-00022,Construction of Sanitation in District_2,Sanitation,MP_33,Uttar Pradesh,District_2,Agency_3,2023-05-01,2024-02-08,,4942601.82,4815110.01,4025758.3,5654772.73,20.12,29.118274,78.665711,In Progress,False,True,True,False,False
MPLAD-2024-00023,Construction of Education in District_2,Education,MP_40,Gujarat,District_2,Agency_3,2023-05-14,2024-01-01,,3529223.32,3576348.94,2746233.08,1484697.08,44.3,17.302622,73.409037,In Progress,False,False,False,False,False
MPLAD-2024-00024,Construction of Health in District_5,Health,MP_43,Karnataka,District_5,Agency_21,2023-02-07,2023-08-08,,1163100.57,1173672.33,984455.44,499576.21,42.67,14.568377,86.710011,In Progress,False,False,False,False,False
MPLAD-2024-00025,Construction of Roads in District_18,Roads,MP_14,Maharashtra,District_18,Agency_17,2023-05-06,2024-02-04,,1697465.72,1729876.74,1199440.61,1105318.7,59.26,17.890924,71.290732,In Progress,False,False,False,False,False
MPLAD-2024-00026,Construction of Sanitation in District_17,Sanitation,MP_1,Tamil Nadu,District_17,Agency_22,2023-03-10,2023-11-12,,4698774.47,4876077.73,3066910.58,2444305.71,53.31,24.100824,83.359867,In Progress,False,False,False,False,False
MPLAD-2024-00027,Construction of Sanitation in District_9,Sanitation,MP_19,Uttar Pradesh,District_9,Agency_20,2023-05-16,2024-03-20,,1967409.16,1887355.83,1790360.61,1620613.17,88.15,17.831864,78.127078,In Progress,False,False,False,False,False
MPLAD-2024-00028,Construction of Roads in District_14,Roads,MP_18,Maharashtra,District_14,Agency_2,2023-05-15,2023-12-22,,3903822.72,9357893.48,8829576.88,7513475.43,82.57,10.440059,72.687233,In Progress,True,False,False,False,False
MPLAD-2024-00029,Construction of Water Supply in District_1,Water Supply,MP_8,Gujarat,District_1,Agency_3,2023-01-19,2023-10-20,,4594216.75,4643112.57,2342907.76,1278436.19,28.43,8.146786,72.663433,In Progress,False,False,False,False,False
MPLAD-2024-00030,Construction of Education in District_10,Education,MP_24,Maharashtra,District_10,Agency_29,2023-07-03,2024-02-21,,3194935.16,3256244.43,2689594.82,1616234.52,15.57,14.880224,77.436591,In Progress,False,False,True,False,False
MPLAD-2024-00031,Construction of Health in District_14,Health,MP_40,Gujarat,District_14,Agency_24,2023-04-01,2024-01-11,2024-06-04,3985965.62,4045608.78,3740617.23,2977253.77,74.6,10.716568,78.663758,Delayed,False,False,False,True,False
MPLAD-2024-00032,Construction of Water Supply in District_9,Water Supply,MP_11,Uttar Pradesh,District_9,Agency_26,2023-08-29,2024-04-21,,2060809.47,2008050.61,1980952.53,1340894.83,24.55,26.30302,91.049528,In Progress,False,False,True,False,False
MPLAD-2024-00033,Construction of Health in District_8,Health,MP_15,Tamil Nadu,District_8,Agency_1,2023-02-05,2023-10-14,,3010548.37,3033700.66,2263925.96,1330870.03,45.82,16.142399,68.705163,In Progress,False,False,False,False,False
MPLAD-2024-00034,Construction of Community Hall in District_11,Community Hall,MP_2,Gujarat,District_11,Agency_4,2023-05-16,2023-11-21,2023-11-08,3581889.18,3466233.81,3363041.57,3125166.44,97.64,18.734602,68.448242,Completed,False,False,False,False,False
MPLAD-2024-00035,Construction of Health in District_17,Health,MP_8,Karnataka,District_17,Agency_13,2023-08-12,2024-02-08,,4713274.25,4679425.47,4601407.33,4296007.27,32.67,16.539018,79.167834,In Progress,False,False,True,False,False
MPLAD-2024-00036,Construction of Community Hall in District_12,Community Hall,MP_28,Uttar Pradesh,District_12,Agency_3,2023-12-06,2024-07-04,,4404546.69,4323909.13,2528390.18,1897709.97,47.72,28.184864,84.531774,In Progress,False,False,False,False,False
MPLAD-2024-00037,Construction of Health in District_11,Health,MP_26,Karnataka,District_11,Agency_23,2023-07-14,2024-07-01,,1388705.98,1404677.1,1397691.53,786953.18,56.23,33.443819,89.48229,In Progress,False,False,False,False,False
MPLAD-2024-00038,Construction of Sanitation in District_13,Sanitation,MP_36,Tamil Nadu,District_13,Agency_27,2023-10-24,2024-09-23,,3788062.96,8343148.39,5671218.2,3584869.64,45.63,31.493288,93.145097,In Progress,True,False,False,False,False
MPLAD-2024-00039,Construction of Water Supply in District_17,Water Supply,MP_31,Uttar Pradesh,District_17,Agency_26,2023-02-13,2023-10-23,,4652962.21,4658239.79,3497211.47,3004918.91,66.44,28.357039,91.077987,In Progress,False,False,False,False,False
MPLAD-2024-00040,Construction of Health in District_8,Health,MP_44,Maharashtra,District_8,Agency_10,2023-05-06,2024-03-02,,4560021.37,4486146.81,3085533.54,1673259.76,10.2,9.042326,81.502343,In Progress,False,False,True,False,False
MPLAD-2024-00041,Construction of Water Supply in District_19,Water Supply,MP_13,Karnataka,District_19,Agency_23,2023-12-02,2024-11-22,2025-02-17,3170578.54,3102899.77,2468098.08,1267923.96,37.08,31.855416,78.445529,Delayed,False,False,False,True,False
MPLAD-2024-00042,Construction of Education in District_17,Education,MP_30,Uttar Pradesh,District_17,Agency_2,2023-03-10,2024-01-02,,1508242.05,1511596.87,1337758.36,798801.55,54.14,10.475076,69.49877,In Progress,False,False,False,False,False
MPLAD-2024-00043,Construction of Sanitation in District_15,Sanitation,MP_40,Tamil Nadu,District_15,Agency_27,2023-10-08,2024-07-28,,3125418.53,3138118.7,2569224.7,2124083.65,74.13,22.97271,77.365738,In Progress,False,False,False,False,False
MPLAD-2024-00044,Construction of Water Supply in District_9,Water Supply,MP_49,Karnataka,District_9,Agency_8,2023-09-06,2024-08-11,,4180744.78,4084935.59,2939052.79,1573290.74,34.86,35.916804,92.243423,In Progress,False,False,False,False,False
MPLAD-2024-00045,Construction of Community Hall in District_8,Community Hall,MP_18,Tamil Nadu,District_8,Agency_11,2023-04-29,2024-02-01,,3783896.82,3749445.56,2199601.59,1254645.42,31.79,23.927573,88.723282,In Progress,False,False,False,False,False
MPLAD-2024-00046,Construction of Roads in District_14,Roads,MP_22,Karnataka,District_14,Agency_18,2023-07-19,2024-06-12,2024-06-12,3640789.51,3560668.07,3480313.19,4855589.46,100.0,25.739902,80.168402,Completed,False,True,False,False,False
MPLAD-2024-00047,Construction of Sanitation in District_16,Sanitation,MP_1,Karnataka,District_16,Agency_12,2023-08-03,2024-06-15,,1990923.96,1962249.21,1724666.07,873503.82,41.1,9.334077,69.181135,In Progress,False,False,False,False,False
MPLAD-2024-00048,Construction of Sanitation in District_16,Sanitation,MP_15,Uttar Pradesh,District_16,Agency_9,2023-12-14,2024-09-22,,4421842.34,4511896.63,3325659.97,3788371.22,83.82,21.730681,73.022854,In Progress,False,True,False,False,False
MPLAD-2024-00049,Construction of Education in District_18,Education,MP_2,Gujarat,District_18,Agency_13,2023-08-08,2024-03-09,,2735406.6,2707643.52,2187573.02,1718977.69,7.21,18.863766,86.149938,In Progress,False,False,True,False,False
MPLAD-2024-00050,Construction of Health in District_11,Health,MP_14,Karnataka,District_11,Agency_15,2023-08-04,2024-04-04,,3012545.03,3119939.2,2587511.64,1483473.45,43.46,26.630159,68.768828,In Progress,False,False,False,False,False
MPLAD-2024-00051,Construction of Health in District_11,Community Hall,MP_23,Gujarat,District_2,Agency_8,2023-01-16,2023-09-16,,3343102.33,3490275.8,2749419.7,1854968.77,54.67,26.630259,68.768928,In Progress,False,False,False,False,True
MPLAD-2024-00052,Construction of Education in District_5,Education,MP_31,Uttar Pradesh,District_5,Agency_22,2023-05-12,2024-02-10,,4765859.24,4711577.36,4620150.53,4192360.57,83.57,10.011478,70.922562,In Progress,False,False,False,False,False
MPLAD-2024-00053,Construction of Community Hall in District_6,Community Hall,MP_20,Maharashtra,District_6,Agency_4,2023-07-12,2024-04-18,,1072887.3,1029375.6,866223.06,460860.89,43.15,32.501384,68.674886,In Progress,False,False,False,False,False
MPLAD-2024-00054,Construction of Sanitation in District_4,Sanitation,MP_45,Uttar Pradesh,District_4,Agency_25,2023-10-17,2024-04-24,,4257873.93,4164990.44,2328572.91,1894367.94,46.66,33.446688,89.31706,In Progress,False,False,False,False,False
MPLAD-2024-00055,Construction of Health in District_17,Health,MP_42,Maharashtra,District_17,Agency_11,2023-08-10,2024-05-08,,4213923.72,7509357.76,4420907.39,3703732.93,52.35,36.724649,79.965913,In Progress,True,False,False,False,False
MPLAD-2024-00056,Construction of Community Hall in District_14,Community Hall,MP_12,Uttar Pradesh,District_14,Agency_24,2023-10-03,2024-08-01,,2488072.34,2556845.89,1714114.01,1574997.88,66.01,20.440827,89.775261,In Progress,False,False,False,False,False
MPLAD-2024-00057,Construction of Sanitation in District_11,Sanitation,MP_16,Tamil Nadu,District_11,Agency_27,2023-08-26,2024-07-16,,4018171.5,3858699.86,3670690.32,2669926.41,73.71,17.281438,93.970174,In Progress,False,False,False,False,False
MPLAD-2024-00058,Construction of Roads in District_11,Roads,MP_12,Karnataka,District_11,Agency_16,2023-11-02,2024-10-26,,2556806.71,2431737.36,2316694.27,1253514.63,49.69,35.551797,95.567607,In Progress,False,False,False,False,False
MPLAD-2024-00059,Construction of Sanitation in District_3,Sanitation,MP_16,Uttar Pradesh,District_3,Agency_24,2023-09-01,2024-08-11,,3293751.55,3337175.45,2416858.42,1527321.23,44.2,27.503035,89.818861,In Progress,False,False,False,False,False
MPLAD-2024-00060,Construction of Roads in District_10,Roads,MP_15,Maharashtra,District_10,Agency_13,2023-08-31,2024-07-17,,4166316.17,4286980.25,2338989.51,1689894.51,35.93,23.936338,80.804385,In Progress,False,False,False,False,False
MPLAD-2024-00061,Construction of Community Hall in District_11,Community Hall,MP_23,Gujarat,District_11,Agency_23,2023-04-09,2023-12-25,,4550816.73,4482970.89,2503889.46,1413060.64,33.17,25.928324,70.932558,In Progress,False,False,False,False,False
MPLAD-2024-00062,Construction of Community Hall in District_7,Community Hall,MP_14,Uttar Pradesh,District_7,Agency_24,2023-09-26,2024-08-23,,1336427.22,1363285.29,731241.01,636060.51,48.58,10.359115,70.460294,In Progress,False,False,False,False,False
MPLAD-2024-00063,Construction of Education in District_8,Education,MP_24,Tamil Nadu,District_8,Agency_6,2023-01-24,2023-08-05,,4946558.31,4884365.63,3347358.7,2898008.61,64.64,36.594031,89.847967,In Progress,False,False,False,False,False
MPLAD-2024-00064,Construction of Education in District_4,Education,MP_1,Karnataka,District_4,Agency_19,2023-01-27,2023-09-28,,2505038.34,2400703.67,2133201.57,1602635.75,65.75,34.284277,71.224727,In Progress,False,False,False,False,False
MPLAD-2024-00065,Construction of Roads in District_16,Roads,MP_5,Karnataka,District_16,Agency_19,2023-10-16,2024-06-29,2024-10-30,2970500.42,2825348.0,2074738.7,2328938.41,76.15,11.408261,86.827099,Delayed,False,True,False,True,False
MPLAD-2024-00066,Construction of Water Supply in District_8,Water Supply,MP_34,Gujarat,District_8,Agency_13,2023-08-08,2024-04-22,,3984179.52,4017395.13,3941411.22,2635589.21,62.79,33.189375,74.484279,In Progress,False,False,False,False,False
MPLAD-2024-00067,Construction of Community Hall in District_7,Community Hall,MP_41,Maharashtra,District_7,Agency_7,2023-10-10,2024-04-26,2024-04-13,4852890.16,4616144.08,4546622.25,5079777.2,100.0,23.303332,96.795979,Completed,False,True,False,False,False
MPLAD-2024-00068,Construction of Sanitation in District_10,Sanitation,MP_3,Karnataka,District_10,Agency_8,2023-02-06,2024-01-27,,1295186.26,1302161.39,1282174.87,942903.74,74.28,28.176712,81.181691,In Progress,False,False,False,False,False
MPLAD-2024-00069,Construction of Community Hall in District_7,Community Hall,MP_28,Gujarat,District_7,Agency_4,2023-03-14,2023-09-28,2024-02-13,3510232.32,3539828.6,3364886.75,1751258.24,47.31,35.561933,93.81765,Delayed,False,False,False,True,False
MPLAD-2024-00070,Construction of Sanitation in District_15,Sanitation,MP_8,Tamil Nadu,District_15,Agency_15,2023-09-14,2024-07-28,,2822627.01,2856535.96,1824442.64,1066668.64,37.07,18.247215,84.926027,In Progress,False,False,False,False,False
MPLAD-2024-00071,Construction of Roads in District_11,Roads,MP_39,Karnataka,District_11,Agency_9,2023-10-22,2024-09-16,,1310938.55,3243779.54,3221414.88,2622788.28,81.44,16.976301,91.600056,In Progress,True,False,False,False,False
MPLAD-2024-00072,Construction of Community Hall in District_19,Community Hall,MP_3,Tamil Nadu,District_19,Agency_25,2023-05-23,2024-01-04,,3738924.69,3612779.7,3451879.47,3003624.48,90.62,29.045866,85.789041,In Progress,False,False,False,False,False
MPLAD-2024-00073,Construction of Water Supply in District_16,Water Supply,MP_23,Maharashtra,District_16,Agency_14,2023-06-18,2024-03-29,,2672972.15,2788639.26,2601889.52,1353889.05,43.95,18.917438,91.506047,In Progress,False,False,False,False,False
MPLAD-2024-00074,Construction of Water Supply in District_16,Water Supply,MP_30,Gujarat,District_2,Agency_3,2023-07-26,2024-06-01,,4949104.52,4776092.18,3806857.62,2555927.58,58.54,18.917538,91.506147,In Progress,False,False,False,False,True
MPLAD-2024-00075,Construction of Sanitation in District_14,Sanitation,MP_4,Karnataka,District_14,Agency_7,2023-08-15,2024-02-24,,2874772.64,2850285.18,1814786.65,953432.6,35.89,31.574129,96.991813,In Progress,False,False,False,False,False
MPLAD-2024-00076,Construction of Health in District_16,Health,MP_8,Karnataka,District_16,Agency_1,2023-03-23,2023-12-07,,4986547.35,5014188.63,4435018.29,4103033.13,87.55,15.173095,81.06578,In Progress,False,False,False,False,False
MPLAD-2024-00077,Construction of Roads in District_4,Roads,MP_30,Uttar Pradesh,District_4,Agency_4,2023-05-30,2024-04-04,,1516637.66,1585500.75,1273295.54,767656.21,50.08,25.925719,78.386719,In Progress,False,False,False,False,False
MPLAD-2024-00078,Construction of Water Supply in District_8,Water Supply,MP_30,Karnataka,District_8,Agency_18,2023-03-11,2023-09-24,,1454230.37,1479181.06,1124405.18,952982.05,64.69,32.713264,84.005298,In Progress,False,False,False,False,False
MPLAD-2024-00079,Construction of Water Supply in District_17,Water Supply,MP_18,Tamil Nadu,District_17,Agency_27,2023-10-24,2024-10-06,,3243751.89,7709274.61,5409917.41,3031213.8,35.61,29.89898,85.988977,In Progress,True,False,False,False,False
MPLAD-2024-00080,Construction of Sanitation in District_12,Sanitation,MP_22,Karnataka,District_12,Agency_18,2023-04-07,2024-03-30,,3816319.07,3706777.04,2106137.85,1066853.8,27.92,25.107613,79.375077,In Progress,False,False,False,False,False
MPLAD-2024-00081,Construction of Water Supply in District_11,Water Supply,MP_48,Maharashtra,District_11,Agency_16,2023-12-06,2024-11-16,,2749899.69,2861039.27,1928705.92,1410453.52,52.1,19.499741,86.040514,In Progress,False,False,False,False,False
MPLAD-2024-00082,Construction of Roads in District_17,Roads,MP_38,Uttar Pradesh,District_17,Agency_11,2023-09-27,2024-07-19,2024-10-23,4449454.83,4649467.01,2666640.15,2445214.17,52.51,15.489087,81.314937,Delayed,False,False,False,True,False
MPLAD-2024-00083,Construction of Community Hall in District_3,Community Hall,MP_31,Uttar Pradesh,District_3,Agency_26,2023-11-29,2024-06-16,,4920130.3,4916498.31,3266402.52,2564225.23,49.44,10.200037,71.737512,In Progress,False,False,False,False,False
MPLAD-2024-00084,Construction of Sanitation in District_11,Sanitation,MP_41,Karnataka,District_11,Agency_23,2023-11-13,2024-05-28,,1512183.36,1459544.66,831084.56,655221.78,42.04,18.024351,94.006864,In Progress,False,False,False,False,False
MPLAD-2024-00085,Construction of Sanitation in District_11,Health,MP_28,Uttar Pradesh,District_3,Agency_4,2023-03-27,2024-03-18,,2895846.56,2944368.71,1725870.97,1012275.2,31.22,18.024451,94.006964,In Progress,False,False,False,False,True
MPLAD-2024-00086,Construction of Health in District_10,Health,MP_23,Maharashtra,District_10,Agency_12,2023-12-16,2024-07-29,,1708041.94,1637790.61,917683.45,649123.8,37.31,18.563826,82.599101,In Progress,False,False,False,False,False
MPLAD-2024-00087,Construction of Water Supply in District_8,Water Supply,MP_32,Gujarat,District_8,Agency_19,2023-05-11,2024-04-25,2024-10-21,3761579.31,3588287.92,3228401.3,2526402.15,64.52,33.33378,94.7053,Delayed,False,False,False,True,False
MPLAD-2024-00088,Construction of Community Hall in District_6,Community Hall,MP_5,Gujarat,District_6,Agency_15,2023-08-06,2024-07-27,,1244311.84,1216548.46,1098665.69,919272.11,70.8,14.07113,78.743691,In Progress,False,False,False,False,False
MPLAD-2024-00089,Construction of Education in District_16,Education,MP_7,Karnataka,District_16,Agency_8,2023-12-25,2024-09-05,2025-02-13,2938091.94,2972836.28,2034778.07,1440909.01,50.87,9.063813,75.320671,Delayed,False,False,False,True,False
MPLAD-2024-00090,Construction of Sanitation in District_16,Sanitation,MP_19,Maharashtra,District_16,Agency_25,2023-11-22,2024-07-07,,3853398.34,4005687.28,3027653.55,2238801.65,51.5,20.974959,83.445901,In Progress,False,False,False,False,False
MPLAD-2024-00091,Construction of Community Hall in District_4,Community Hall,MP_41,Uttar Pradesh,District_4,Agency_21,2023-07-06,2024-02-04,2024-06-18,1969882.01,3485200.42,2400055.67,1221705.23,6.89,14.131992,77.497423,Delayed,True,False,True,True,False
MPLAD-2024-00092,Construction of Water Supply in District_7,Water Supply,MP_9,Uttar Pradesh,District_7,Agency_26,2023-05-20,2023-12-28,,1479048.53,1536809.41,1224523.94,986471.64,67.9,22.454824,70.520688,In Progress,False,False,False,False,False
MPLAD-2024-00093,Construction of Water Supply in District_11,Water Supply,MP_8,Tamil Nadu,District_11,Agency_15,2023-12-13,2024-12-12,,3148426.17,3175767.45,2771554.94,1924143.13,56.08,16.229501,78.529387,In Progress,False,False,False,False,False
MPLAD-2024-00094,Construction of Sanitation in District_3,Sanitation,MP_26,Tamil Nadu,District_3,Agency_1,2023-12-11,2024-08-14,,3583668.97,3609033.57,2447099.3,2309895.0,65.36,14.879577,70.951692,In Progress,False,False,False,False,False
MPLAD-2024-00095,Construction of Health in District_8,Health,MP_31,Maharashtra,District_8,Agency_1,2023-11-09,2024-07-02,,1611436.56,1570499.26,911424.62,532231.11,32.43,13.027834,94.006197,In Progress,False,False,False,False,False
MPLAD-2024-00096,Construction of Water Supply in District_14,Water Supply,MP_8,Tamil Nadu,District_14,Agency_5,2023-03-01,2023-09-21,2023-09-04,1320934.98,2674247.92,1885875.39,2815520.39,97.11,19.537812,96.114643,Completed,True,True,False,False,False
MPLAD-2024-00097,Construction of Water Supply in District_18,Water Supply,MP_27,Tamil Nadu,District_18,Agency_19,2023-02-20,2023-12-22,,4462028.5,4603506.97,2895382.21,1670344.3,37.51,34.951904,84.146124,In Progress,False,False,False,False,False
MPLAD-2024-00098,Construction of Health in District_12,Health,MP_14,Maharashtra,District_12,Agency_15,2023-12-18,2024-09-17,,3286450.76,3214141.97,2843700.75,1661203.78,49.86,20.337657,82.720701,In Progress,False,False,False,False,False
MPLAD-2024-00099,Construction of Health in District_13,Health,MP_18,Maharashtra,District_13,Agency_7,2023-02-16,2024-01-31,,1969638.93,1893775.69,1525076.54,960620.93,51.55,12.476519,81.953063,In Progress,False,False,False,False,False
MPLAD-2024-00100,Construction of Roads in District_11,Roads,MP_16,Maharashtra,District_11,Agency_5,2023-10-11,2024-05-31,,3130357.73,2990062.46,1998265.14,1120000.84,34.19,36.708847,77.348262,In Progress,False,False,False,False,False
MPLAD-2024-00101,Construction of Education in District_5,Education,MP_39,Tamil Nadu,District_5,Agency_1,2023-10-04,2024-06-04,,4239497.78,4135477.74,3476908.54,2927913.5,72.15,21.675709,79.943387,In Progress,False,False,False,False,False
MPLAD-2024-00102,Construction of Roads in District_1,Roads,MP_23,Uttar Pradesh,District_1,Agency_26,2023-05-16,2023-11-25,,2395473.07,2498365.62,2286778.29,2136450.31,11.74,29.195157,95.211873,In Progress,False,False,True,False,False
MPLAD-2024-00103,Construction of Roads in District_16,Roads,MP_29,Maharashtra,District_16,Agency_25,2023-04-24,2024-03-26,2024-10-05,1724932.26,1650155.81,1436560.18,1089649.43,70.55,12.053399,91.062752,Delayed,False,False,False,True,False
MPLAD-2024-00104,Construction of Community Hall in District_2,Community Hall,MP_31,Maharashtra,District_2,Agency_28,2023-08-16,2024-03-01,,1806509.28,1745748.41,1016257.59,880646.77,52.11,23.168897,78.406084,In Progress,False,False,False,False,False
MPLAD-2024-00105,Construction of Education in District_5,Education,MP_18,Maharashtra,District_5,Agency_20,2023-11-02,2024-09-12,,4508802.16,4460307.79,4051296.32,2826227.69,61.8,21.417714,76.739958,In Progress,False,False,False,False,False
MPLAD-2024-00106,Construction of Water Supply in District_4,Water Supply,MP_42,Maharashtra,District_4,Agency_21,2023-08-09,2024-05-30,,3990437.52,3991523.08,2459202.7,2225107.65,54.45,23.763033,94.287691,In Progress,False,False,False,False,False
MPLAD-2024-00107,Construction of Water Supply in District_14,Water Supply,MP_47,Karnataka,District_14,Agency_4,2023-03-20,2024-03-09,,3496951.98,3362983.07,3261811.29,2552264.99,73.39,12.03889,91.02673,In Progress,False,False,False,False,False
MPLAD-2024-00108,Construction of Roads in District_14,Roads,MP_7,Maharashtra,District_14,Agency_24,2023-10-28,2024-09-15,,3480291.02,3491936.46,3306676.28,2826774.2,75.31,17.03994,75.206185,In Progress,False,False,False,False,False
MPLAD-2024-00109,Construction of Water Supply in District_14,Water Supply,MP_47,Tamil Nadu,District_14,Agency_2,2023-10-23,2024-08-27,,3975785.17,3790327.69,2975198.17,2508408.64,71.17,17.920371,91.816462,In Progress,False,False,False,False,False
MPLAD-2024-00110,Construction of Education in District_12,Education,MP_36,Maharashtra,District_12,Agency_12,2023-08-08,2024-06-26,,1442526.95,1492503.62,841390.46,571118.41,40.54,12.347605,74.64829,In Progress,False,False,False,False,False
MPLAD-2024-00111,Construction of Sanitation in District_1,Sanitation,MP_39,Gujarat,District_1,Agency_22,2023-12-26,2024-09-10,,3889010.27,3974582.71,3261438.5,2649190.83,67.22,15.302173,78.025184,In Progress,False,False,False,False,False
MPLAD-2024-00112,Construction of Education in District_19,Education,MP_43,Uttar Pradesh,District_19,Agency_13,2023-02-16,2023-12-28,,1726390.87,4157927.05,3291813.79,2239694.59,53.46,35.471217,72.447191,In Progress,True,False,False,False,False
